,Date,Count
86,2014-02-26,1
90,2014-03-04,1
89,2014-03-05,1
77,2014-03-06,2
93,2014-03-07,1
88,2014-03-09,1
92,2014-03-10,1
91,2014-03-11,1
61,2014-03-13,4
60,2014-03-14,5
55,2014-03-15,6
57,2014-03-16,6
54,2014-03-17,6
56,2014-03-18,6
49,2014-03-19,7
47,2014-03-20,10
45,2014-03-21,15
44,2014-03-22,16
43,2014-03-23,17
41,2014-03-24,18
42,2014-03-25,17
40,2014-03-26,18
39,2014-03-27,18
37,2014-03-28,19
36,2014-03-29,19
38,2014-03-30,18
35,2014-03-31,19
33,2014-04-01,21
29,2014-04-02,23
26,2014-04-03,23
25,2014-04-04,24
21,2014-04-05,24
27,2014-04-06,23
24,2014-04-07,24
23,2014-04-08,24
22,2014-04-09,24
15,2014-04-10,24
11,2014-04-11,25
20,2014-04-12,24
19,2014-04-13,24
10,2014-04-14,25
7,2014-04-15,26
0,2014-04-16,27
3,2014-04-17,27
2,2014-04-18,27
5,2014-04-19,26
12,2014-04-20,25
4,2014-04-21,27
6,2014-04-22,26
1,2014-04-23,27
9,2014-04-24,26
8,2014-04-25,26
14,2014-04-26,25
13,2014-04-27,25
18,2014-04-28,24
17,2014-04-29,24
16,2014-04-30,24
28,2014-05-01,23
32,2014-05-02,21
30,2014-05-03,21
31,2014-05-04,21
34,2014-05-05,19
46,2014-05-07,11
48,2014-05-08,9
53,2014-05-09,6
51,2014-05-10,6
52,2014-05-11,6
50,2014-05-12,6
59,2014-05-13,5
58,2014-05-14,5
73,2014-05-15,3
76,2014-05-16,3
75,2014-05-17,3
74,2014-05-18,3
65,2014-05-19,3
72,2014-05-20,3
71,2014-05-21,3
70,2014-05-22,3
67,2014-05-23,3
64,2014-05-24,3
63,2014-05-25,3
62,2014-05-26,3
66,2014-05-27,3
68,2014-05-28,3
69,2014-05-29,3
78,2014-05-30,2
87,2014-05-31,1
79,2014-06-01,1
80,2014-06-02,1
81,2014-06-03,1
82,2014-06-04,1
83,2014-06-05,1
84,2014-06-06,1
85,2014-06-07,1
94,2014-06-08,1
