,id,date,activity,circumplex.arousal,circumplex.valence,mood,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms,3_day_avg_mood,3_day_avg_activity,productivity_to_social_ratio,mood_quantiles
7,AS14.01,2014-02-26,0.08154761904761905,-0.25,0.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.25,0.08154761904761905,1.0,Q1
8,AS14.01,2014-02-27,0.08154761904761905,0.0,0.3333333333333333,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.6666666666666667,6.25,0.08154761904761905,1.0,Q1
26,AS14.01,2014-03-21,0.13405010398938863,0.2,0.2,6.2,1090.617,2850.042,100.898,49.544,0.0,5.479,50.465,3121.747,167.373,0.0,229.138,0.0,6.0,2867.9629995822906,1.25,6.291666666666666,0.08154761904761905,55.02331020785477,Q1
27,AS14.01,2014-03-22,0.23688021923995814,0.6,0.5,6.4,476.737,1946.683,4.01,21.076,0.0,0.0,60.565,439.632,37.305,0.0,53.188,0.0,3.0,3038.4639995098114,1.0,6.26111111111111,0.09904844736154224,21.07824900031936,Q1
28,AS14.01,2014-03-23,0.14274111580506366,0.2,0.8,6.8,540.915,2680.535,4.028,43.403,0.0,0.0,40.604,649.414,0.0,0.0,30.086,30.386,6.5,2780.277001142501,1.0,6.311111111111111,0.1508259807589886,43.404528019289714,Q2
29,AS14.01,2014-03-24,0.07896105611559796,0.8,0.0,6.0,731.456,5070.628,70.289,34.106,0.0,3.01,66.558,1362.785,35.004999999999995,0.0,10.064,0.0,10.0,5953.697000980377,1.0,6.466666666666668,0.17122381301147013,37.116697314085606,Q1
30,AS14.01,2014-03-25,0.09837411239050677,0.5,0.5,6.75,445.343,3673.328,18.066,43.054,0.0,0.0,31.68,1233.253,0.0,79.546,222.893,0.0,7.333333333333334,3326.4939990043626,1.0,6.3999999999999995,0.15286079705353992,43.05479851858831,Q2
31,AS14.01,2014-03-26,0.10130832167007592,-0.2,0.6,6.6,608.67,4399.854,31.131,52.331,0.0,0.0,56.525,1589.301,0.0,0.0,33.365,0.0,4.666666666666667,5123.954999923706,1.0,6.516666666666667,0.10669209477038945,52.33161673878399,Q1
32,AS14.01,2014-03-27,0.15951064096909748,0.2,0.8,7.0,795.431,3956.983,39.289,42.219,0.0,72.082,58.532,440.767,47.314,0.0,127.80199999999999,0.0,2.0,4165.831999778747,1.0,6.45,0.0928811633920602,114.30307876006118,Q2
33,AS14.01,2014-03-28,0.09569802163712014,-0.6,0.6,6.4,649.026,866.833,74.363,89.166,233.036,0.0,53.521,512.741,372.826,0.0,130.822,0.0,5.0,2522.1649994850172,1.0,6.783333333333334,0.11973102500989337,89.1677003795247,Q1
34,AS14.01,2014-03-29,0.06820281010186964,0.2,1.0,8.0,428.979,1512.28,75.78,0.0,0.0,0.0,86.091,472.888,52.434999999999995,0.0,236.857,0.0,4.0,1435.9450001716605,1.0,6.666666666666667,0.11883899475876451,0.0018192800017465087,Q4
35,AS14.01,2014-03-30,0.049092970521542,-0.5,0.75,7.5,229.791,438.07,31.269,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,5.0,489.43400049209635,1.0,7.133333333333333,0.10780382423602908,0.005001150264560849,Q3
36,AS14.01,2014-03-31,0.07050548088338955,0.0,0.6,7.4,813.68,3221.253,231.92600000000002,41.254999999999995,51.176,0.0,110.27,896.891,183.381,29.29,158.082,0.0,6.0,3026.7320001125345,1.0,7.3,0.07099793408684392,41.255885099091266,Q3
37,AS14.01,2014-04-01,0.118443242712736,0.2,0.0,6.0,983.961,4740.233,185.362,184.48,234.741,3.159,72.999,3283.515,230.849,0.0,309.149,0.0,1.0,5049.953001022339,1.0,7.633333333333333,0.06260042050226707,187.63928819465357,Q1
38,AS14.01,2014-04-02,0.10191661063822348,0.3333333333333333,0.6666666666666666,6.5,939.22,5207.388,220.68,107.011,0.0,0.0,141.817,1603.273,0.0,0.0,161.854,0.0,4.0,5997.365000009536,1.0,6.966666666666666,0.07934723137255585,107.0115479593173,Q1
39,AS14.01,2014-04-03,0.04923847270844108,-1.2,0.0,6.4,1020.854,7508.426,272.906,13.032,0.0,0.0,143.313,2395.011,19.082,0.0,136.328,0.0,4.0,6796.703999757767,1.0,6.633333333333333,0.09695511141144968,13.032374683813696,Q1
40,AS14.01,2014-04-04,0.12668931120732582,0.2,0.4,6.2,881.979,2957.743,33.656,0.0,0.0,0.0,58.754,989.112,47.657,0.0,128.692,0.0,2.0,3295.006999969483,1.0,6.3,0.08986610868646684,0.0009767838025802722,Q1
41,AS14.01,2014-04-05,0.1190023022034455,-0.4,0.6,6.8,451.499,1208.282,0.0,0.0,0.0,0.0,81.133,363.208,187.945,0.0,118.956,0.0,3.0,1882.5119998455052,1.0,6.366666666666667,0.09261479818466345,0.0027456837850898387,Q2
42,AS14.01,2014-04-06,0.06440779944246815,-0.75,0.5,6.5,489.216,1444.189,0.0,0.0,114.406,0.0,65.636,123.714,0.0,0.0,46.249,0.0,4.0,2391.862000226975,1.0,6.466666666666668,0.09831002870640414,0.008018345975592155,Q1
43,AS14.01,2014-04-07,0.050670621174317886,-0.6666666666666666,0.25,6.5,735.223,2690.637,14.201999999999998,46.128,0.0,0.0,73.053,876.78,60.247,0.0,5.064,0.0,1.0,2388.80299949646,1.0,6.5,0.10336647095107983,46.12912109885625,Q1
